id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
94	0	1715	17	1715	MOD	skipped 0 overlaps; used 27 overlaps
95	0	1866	2	1866	MOD	skipped 0 overlaps; used 27 overlaps
96	0	1891	18	1891	MOD	skipped 0 overlaps; used 27 overlaps
97	0	12345	10	12344	MOD	skipped 0 overlaps; used 54 overlaps
98	0	2522	7	2522	MOD	skipped 0 overlaps; used 24 overlaps
99	0	4511	45	4502	MOD	skipped 0 overlaps; used 24 overlaps
100	0	17957	140	17942	MOD	skipped 0 overlaps; used 75 overlaps
101	0	6858	0	6845	MOD	skipped 0 overlaps; used 38 overlaps
102	0	20042	14	20041	MOD	skipped 0 overlaps; used 81 overlaps
103	0	5245	0	5245	NOC	skipped 0 overlaps; used 28 overlaps
104	0	1324	4	1313	MOD	skipped 0 overlaps; used 16 overlaps
105	0	2311	0	2311	NOC	skipped 0 overlaps; used 30 overlaps
106	0	12316	21	12262	MOD	skipped 0 overlaps; used 57 overlaps
107	0	3447	24	3436	MOD	skipped 0 overlaps; used 26 overlaps
108	0	0	0	0	NOV
109	0	16076	0	16038	MOD	skipped 0 overlaps; used 61 overlaps
110	0	2820	0	2809	MOD	skipped 0 overlaps; used 30 overlaps
111	0	2875	3	2778	MOD	skipped 0 overlaps; used 30 overlaps
112	0	16281	0	16272	MOD	skipped 0 overlaps; used 58 overlaps
113	0	10015	43	10015	MOD	skipped 0 overlaps; used 48 overlaps
114	0	8046	11	8039	MOD	skipped 0 overlaps; used 45 overlaps
115	0	3451	0	3451	NOC	skipped 0 overlaps; used 26 overlaps
116	0	2443	1	2443	MOD	skipped 0 overlaps; used 26 overlaps
117	0	866	22	864	DEL	skipped 0 overlaps; used 13 overlaps
118	0	7438	813	7418	MOD	skipped 0 overlaps; used 36 overlaps
119	0	10486	7	10485	MOD	skipped 0 overlaps; used 43 overlaps
120	0	10260	74	10232	MOD	skipped 0 overlaps; used 47 overlaps
121	0	4815	0	4758	MOD	skipped 0 overlaps; used 22 overlaps
122	0	18920	45	18902	MOD	skipped 0 overlaps; used 56 overlaps
123	0	8182	0	8182	NOC	skipped 0 overlaps; used 25 overlaps
124	0	14530	0	14529	MOD	skipped 0 overlaps; used 58 overlaps
125	0	14666	4	14665	MOD	skipped 0 overlaps; used 60 overlaps
126	0	31053	104	31052	MOD	skipped 0 overlaps; used 96 overlaps
127	0	0	0	0	NOV
128	0	8974	16	8974	MOD	skipped 0 overlaps; used 37 overlaps
129	0	12926	9	12908	MOD	skipped 0 overlaps; used 44 overlaps
130	0	16362	0	16362	NOC	skipped 0 overlaps; used 113 overlaps
131	0	20990	46	20980	MOD	skipped 0 overlaps; used 74 overlaps
132	0	8706	8	8706	MOD	skipped 0 overlaps; used 43 overlaps
133	0	2717	11	2717	MOD	skipped 0 overlaps; used 30 overlaps
134	0	3411	21	3409	MOD	skipped 0 overlaps; used 51 overlaps
135	0	15092	0	15091	MOD	skipped 0 overlaps; used 136 overlaps
136	0	1246	2	1246	MOD	skipped 0 overlaps; used 11 overlaps
137	0	2735	36	2735	MOD	skipped 0 overlaps; used 26 overlaps
138	0	2954	0	2936	MOD	skipped 0 overlaps; used 20 overlaps
139	0	3901	15	3900	MOD	skipped 0 overlaps; used 22 overlaps
140	0	3343	28	3342	MOD	skipped 0 overlaps; used 26 overlaps
141	0	3198	9	3198	MOD	skipped 0 overlaps; used 36 overlaps
142	0	0	0	0	NOV
143	0	14681	37	14629	MOD	skipped 0 overlaps; used 66 overlaps
144	0	613	0	613	DEL	skipped 0 overlaps; used 19 overlaps
145	0	16696	9	16695	MOD	skipped 0 overlaps; used 57 overlaps
146	0	17078	0	17058	MOD	skipped 0 overlaps; used 73 overlaps
147	0	2784	0	2783	MOD	skipped 0 overlaps; used 35 overlaps
148	0	7658	0	7646	MOD	skipped 0 overlaps; used 34 overlaps
149	0	9335	0	9334	MOD	skipped 0 overlaps; used 52 overlaps
150	0	2062	0	2062	NOC	skipped 0 overlaps; used 27 overlaps
151	0	4483	40	4482	MOD	skipped 0 overlaps; used 34 overlaps
152	0	14797	4909	14797	MOD	skipped 0 overlaps; used 39 overlaps
153	0	1876	7	1832	MOD	skipped 0 overlaps; used 18 overlaps
154	0	22667	0	22651	MOD	skipped 0 overlaps; used 70 overlaps
155	0	5509	8	5509	MOD	skipped 0 overlaps; used 34 overlaps
156	0	533	14	528	DEL	skipped 0 overlaps; used 1 overlaps
157	0	16382	20	16373	MOD	skipped 0 overlaps; used 196 overlaps
158	0	21770	272	21760	MOD	skipped 0 overlaps; used 153 overlaps
159	0	0	0	0	NOV
160	0	7435	0	7435	NOC	skipped 0 overlaps; used 34 overlaps
161	0	13963	14	13963	MOD	skipped 0 overlaps; used 58 overlaps
162	0	2931	13	2919	MOD	skipped 0 overlaps; used 28 overlaps
163	0	791	2	791	DEL	skipped 0 overlaps; used 23 overlaps
164	0	2878	3	2867	MOD	skipped 0 overlaps; used 14 overlaps
165	0	8574	12	8574	MOD	skipped 0 overlaps; used 60 overlaps
166	0	14378	86	14363	MOD	skipped 0 overlaps; used 52 overlaps
167	0	7213	17	7213	MOD	skipped 0 overlaps; used 39 overlaps
168	0	3213	29	3205	MOD	skipped 0 overlaps; used 24 overlaps
169	0	12676	38	7095	MOD	skipped 0 overlaps; used 85 overlaps
170	0	11532	43	11517	MOD	skipped 0 overlaps; used 32 overlaps
171	0	645	0	645	DEL	skipped 0 overlaps; used 22 overlaps
172	0	9757	1	9757	MOD	skipped 0 overlaps; used 50 overlaps
173	0	0	0	0	NOV
174	0	11718	47	11710	MOD	skipped 0 overlaps; used 51 overlaps
175	0	10713	157	10641	MOD	skipped 0 overlaps; used 46 overlaps
176	0	8848	14	8824	MOD	skipped 0 overlaps; used 43 overlaps
177	0	15273	8	15257	MOD	skipped 0 overlaps; used 88 overlaps
178	0	2989	34	2989	MOD	skipped 0 overlaps; used 32 overlaps
179	0	4209	88	4204	MOD	skipped 0 overlaps; used 25 overlaps
180	0	4748	26	4724	MOD	skipped 0 overlaps; used 27 overlaps
181	0	0	0	0	NOV
182	0	0	0	0	NOV
183	0	462	0	462	NOV
184	0	3470	0	3469	MOD	skipped 0 overlaps; used 34 overlaps
185	0	2511	7	2511	MOD	skipped 0 overlaps; used 27 overlaps
186	0	0	0	0	NOV
187	0	18640	0	18639	MOD	skipped 0 overlaps; used 237 overlaps
188	0	18592	10	18591	MOD	skipped 0 overlaps; used 66 overlaps
189	0	1922	13	1912	MOD	skipped 0 overlaps; used 22 overlaps
190	0	19218	214	19202	MOD	skipped 0 overlaps; used 68 overlaps
191	0	1998	0	1990	MOD	skipped 0 overlaps; used 22 overlaps
192	0	7440	3680	7440	MOD	skipped 0 overlaps; used 42 overlaps
193	0	3757	22	3757	MOD	skipped 0 overlaps; used 22 overlaps
194	0	2116	16	2108	MOD	skipped 0 overlaps; used 36 overlaps
195	0	789	0	789	DEL	skipped 0 overlaps; used 14 overlaps
196	0	3793	21	3792	MOD	skipped 0 overlaps; used 31 overlaps
197	0	5032	29	5028	MOD	skipped 0 overlaps; used 37 overlaps
198	0	3787	67	3785	MOD	skipped 0 overlaps; used 26 overlaps
199	0	11275	0	11226	MOD	skipped 0 overlaps; used 51 overlaps
200	0	19183	0	19164	MOD	skipped 0 overlaps; used 65 overlaps
201	0	1568	0	1550	MOD	skipped 0 overlaps; used 22 overlaps
202	0	0	0	0	NOV
203	0	13559	14	13559	MOD	skipped 0 overlaps; used 36 overlaps
204	0	0	0	0	NOV
205	0	7891	4	7890	MOD	skipped 0 overlaps; used 32 overlaps
206	0	6234	156	6234	MOD	skipped 0 overlaps; used 40 overlaps
207	0	7121	0	7120	MOD	skipped 0 overlaps; used 30 overlaps
208	0	0	0	0	NOV
209	0	12842	0	12842	NOC	skipped 0 overlaps; used 41 overlaps
210	0	0	0	0	NOV
211	0	20909	112	20886	MOD	skipped 0 overlaps; used 88 overlaps
212	0	20960	0	20959	MOD	skipped 0 overlaps; used 88 overlaps
213	0	8287	34	8263	MOD	skipped 0 overlaps; used 30 overlaps
214	0	10799	5	10777	MOD	skipped 0 overlaps; used 47 overlaps
215	0	6292	175	6228	MOD	skipped 0 overlaps; used 33 overlaps
216	0	4468	296	4412	MOD	skipped 0 overlaps; used 24 overlaps
217	0	7601	9	7600	MOD	skipped 0 overlaps; used 51 overlaps
218	0	9319	32	9319	MOD	skipped 0 overlaps; used 56 overlaps
219	0	956	0	956	DEL	skipped 0 overlaps; used 32 overlaps
220	0	5971	8	5956	MOD	skipped 0 overlaps; used 33 overlaps
221	0	8088	8	8060	MOD	skipped 0 overlaps; used 66 overlaps
222	0	5841	6	5840	MOD	skipped 0 overlaps; used 30 overlaps
223	0	3497	7	3496	MOD	skipped 0 overlaps; used 30 overlaps
224	0	2133	19	2093	MOD	skipped 0 overlaps; used 25 overlaps
225	0	11150	0	11120	MOD	skipped 0 overlaps; used 57 overlaps
226	0	6452	67	6452	MOD	skipped 0 overlaps; used 30 overlaps
227	0	0	0	0	NOV
228	0	9503	12	9502	MOD	skipped 0 overlaps; used 54 overlaps
229	0	1548	40	1548	MOD	skipped 0 overlaps; used 22 overlaps
230	0	20186	21	20186	MOD	skipped 0 overlaps; used 66 overlaps
231	0	11919	129	11919	MOD	skipped 0 overlaps; used 42 overlaps
232	0	0	0	0	NOV
233	0	7393	0	7336	MOD	skipped 0 overlaps; used 42 overlaps
234	0	9270	0	9269	MOD	skipped 0 overlaps; used 31 overlaps
235	0	1192	4	1141	MOD	skipped 0 overlaps; used 20 overlaps
236	0	10479	76	10457	MOD	skipped 0 overlaps; used 36 overlaps
237	0	10423	42	10245	MOD	skipped 0 overlaps; used 39 overlaps
238	0	0	0	0	NOV
239	0	9630	12	9626	MOD	skipped 0 overlaps; used 44 overlaps
240	0	13771	40	13770	MOD	skipped 0 overlaps; used 46 overlaps
241	0	14208	29	14198	MOD	skipped 0 overlaps; used 58 overlaps
242	0	0	0	0	NOV
