     read       raw corrected
       id    length    length
--------- --------- ---------
      388      7081      6662
      389     29190     27303
      390      2223      2073
      391      3922      3561
      392      4429      4008
      393      5457      4761
      394     16274     16575
      396     23507     23952
      397      1153       713
      398      4891      4560
      399      2389      2204
      400      2477      2082
      401      2348      2164
      403      2313      1436
      404     15548     13763
      405      6874      6113
      406     17254     16446
      407      3223      2702
      408      4094      4004
      410      3919      2712
      411      4268      3900
      412      4276      3888
      413      5219      4951
      414     17120     16913
      415      5851      5480
      416     15044     13090
      417     32675     30188
      418      2501      2182
      419     11025      8275
      420      2713      2625
      421      1628      1575
      422      2486      2103
      423     17315     11763
      424      5504      5041
      425      6205      5867
      426     14714     13411
      427      8429      7936
      428      6904      6717
      429      8825      8640
      430     41342     39290
      431      2307      1611
      432     19701     18698
      433      3396      3370
      434      3914      3022
      435      6114      5968
      436      1925      1807
      437     24148     24290
      438      6544      6191
      439      5038      2896
      440      6224      6070
      441     22336     21061
      443     27610     25999
      444     28663     26345
      445     16128     15157
      446     14689     13540
      447      3021      2893
      448     37776     34754
      449      3663      3649
      450      3793      3649
      451      1097       897
      452      1800       516
      454      3752      2808
      455      2818      2733
      456      2739      2642
      457      2768      2632
      458      2679      2583
      459      2627      2570
      460      2613      2580
      461      6912      6207
      462     16651     15648
      463      8597      7879
      465      9478      9098
      466     16900     15012
      468     10821      8193
      469     11935     11333
      470      2483      2251
      471      5535      3417
      472     21150     20254
      473     23776     22527
      474      2612      2469
      475     11515     10857
      476      8156      7210
      477      5285      4676
      478      9217      7757
      479      4092      3042
      480     13882     13304
      481     15611     14128
      482     12744     11100
      483      6275      5372
      484      5001      4895
      485     13809     12025
      486      3811      3725
      487     11896     11121
      488      4808      4708
      489      7765      7816
      490     15414     14845
      491     10701     11662
      492      4056      3835
      493     18298     17961
      494     12906     12584
      495     26597     21897
      496      1234      1149
      497      3128      2962
      498     16847     14716
      499     11786     11316
      501      3675      2612
      504      1806      1605
      505      1729      1618
      506      1794      1622
      507      1701      1605
      508      2951      1900
      509      2605      2537
      510     16736      9460
      511     18277     17206
      512     18531     18120
      513      6620      6735
      514      6876      6687
      516     15707     13983
      518     17337     16981
      519     27579     25892
      520     16660     15720
      521     15534     14711
      522     10049      6636
      523      6993      6804
      525     11917     11835
      527      7241      6556
      528      8973      8381
      529      8560      7800
      530      1997      1932
      531      1875      1820
      532      6640      6021
      533      6559      6040
      534      6579      5995
      535      2846      2703
      536      5717      5066
      537      9888      8347
      538     13754     10734
      540      3998      3038
      541      1986       914
      542      2039      1967
      543     20666     19449
      544     19471     19499
      545      8539      8071
      546     19646     18708
      548     16517     15698
      549     12271     11118
      550     24267     23154
      551     14799     14690
      553      6434      3247
      554      2058      1897
      555      6612      6352
      557      2594      2317
      559     11911     10528
      560     19714     18999
      561      5640      5076
      562      8841      8368
      563      3374      2618
      565      4794      4356
      566      4577      4357
      567      6906      6261
      568      7745      6976
      569      1091       896
      570      4646      4403
      572     13612     12906
      573      7726      7474
      574      4176      4019
      575     14878      8029
      577      3904      3545
      578      1373      1010
      579      2156      1992
      580      2158      2025
      581      2170      1831
      582     10565      9980
      583      2287      1996
      584      4973      4809
      585      5057      4787
      586      3201      1803
      587     10775     10057
      588      4089      3787
      589      7614      6505
      590     15002     14097
      591      7643      7270
      593      3135      2576
      594      2893      2791
      595     13871     12278
      596     17509      4738
      598     16336     15493
      599     20157     18541
      600      4827      3343
      601      3543      2980
      602      7655      6998
      603      7628      7273
      604      4263      1992
      606      1560      1318
      607      6171      5181
      608     12130     11060
      609      1637      1538
      610      7645      3976
      611     13556     13083
      612     12908     12155
      613     23252     21954
      614     19408     17924
      615      5135      4564
      616     18194     17273
      617      6564      6278
      618     13463     12079
      619     19164     18895
      620     20382     19342
      621     13343     12606
      622      3171      2804
      623      3583      3143
      624      3661      2943
      626      7864      7424
      627     11930      4459
      628      4091      3756
      629     11172     10794
      630     22434     21114
      631      3944      3703
      632     26082     24202
      633      3853      3331
      634     20877     19775
      636     15697     14873
      637      4516      3856
      638      2063      1947
      639      5765      5011
      640      4775      4148
      641      2290      2146
      642     11917     11033
      643     17312     16086
      644      8296      7859
      645      2903      1992
      646     13146     12171
      647     11375      9868
      648      6162      5826
      649      7237      7136
      650      7125      7108
      651     17143     15070
      652      5207      5041
      653     19400     16548
      654     15557     14659
      656      8547      6118
      657     10952     11038
      658     13521     12335
      659      1812      1420
      660      1494      1101
      661      6350      5876
      662      6011      5483
      663      5907      5376
      664     13554     12902
      665     12454     11859
      666      2863      2544
      667     15393     14811
      668      7222      5998
      670      7545      7251
      671     15464     14468
      674      9753      9020
      675      5266      4907
      676      7732      6610
      677     22566     21764
      678      2821      2098
      679      9685      8855
      680      5669      4462
      681     18134     17918
      682     17722     15740
      683     14096     14090
      685      1577      1481
      686      1525      1465
      687      1035       937
      688     11091     10525
      689      4908      4734
      690      4878      4723
      691      2925      2463
      692     11864     11084
      693      6858      6525
      694      6658      6368
      695      1451      1113
      696     18588     18177
      697     20431     20603
      698      3645      3324
      699     21400     20325
      700     16779     16357
      701      4688      4675
      702      4054      2812
      703     18099     16888
      704      8136      7798
      705     28319     24093
      707      7051      6971
      708     17929     17176
      709      2877      2207
      710      5933      3664
      711      3383      3228
      713      3030      2737
      714      1757       808
      715      4318      3621
      716     18894     17996
      717      3460      3198
      718      3338      2995
      719      8260      7721
      720      2474      1631
      721      6480      5729
      722      5011      4936
      723      5833      5501
      724      4136      4027
      726     14924     14117
      727      3453      3576
      728     12989     11699
      729     12584     12135
      730      7714      7325
      731     23609     18702
      732      9686      7784
      733      1491      1356
      734      3830      3344
      735      8514      7940
      736      2315      2193
      737     15447     14577
      738      3117      2059
      739      3397      2884
      741      5213      3945
      742      3510      3337
      743      6502      6018
      744      1945      1609
      745      1952      1612
      746      1918      1296
      747     11848     11715
      748     11736     10778
      749      5244      4697
      750     24534     21545
      751      2828      2396
      752      4640      4153
      754     13060     12576
      755     18695     17960
      756     20047     19321
      757     14237     13756
      758     26174     24997
      760     10685      8212
      761      9531      9075
      762      1144       936
      763      3699      3127
      764      6886      5330
      765     18998     17948
      767      4260      3351
      768     11054     10586
      769      6160      5590
      770     21523     13565
      771     14797     13801
      772     23552     10953
      773     17833     17234
      774     24053     23532
      775     15450      2274
      776      2652      2566
      777     12529     11484
      778      2559      2117
      779      2508      2405
      781     11249     10596
      782      2270      2200
      783     12812     11658
      784     21327     20079
      785     13858     13009
      786     15987     15452
      787     19813     18705
      788     11499     11965
      789      6626      6126
      790     30924     15869
      791      9191      8625
      792     12075     11739
      793     10485      9614
      794      1438      1208
      795     12919     11254
      796      8742      8459
      798      1779      1596
      799      7587      7043
      800     16186     15346
      801      3515      3421
      802     20256     19027
      803     26603     24933
      804      3825      1471
      805      3774      1802
      806      3706      2583
      808     11538     12377
      809      7563      7082
      811     11012     10138
      812     21558     19934
      814     10137      9184
      815     37759     32010
      816      6966      6584
      817      3355      2660
      818     17668     17299
      819     20246     14782
      820      3270      3149
      821      4769      4576
      822      9770      4455
      823     21660     20098
      824     16836     15045
      825      8855      8389
      826     11275     10921
      827      2438      1808
      828     10311     10465
      829      3786      3574
      830      3180      2236
      831     12243     11404
      832      6840      6488
      833     13440     11975
      834      5563      5044
      835     24747     24690
      836     10804     10275
      837      1400      1296
      838      1399      1263
      839      1358      1253
      840      1428      1272
      841      1404      1169
      842      1378      1278
      843      1376      1269
      844      1338      1244
      846      3574      3081
      848      1371      1167
      850     15268     14322
      851      9117      7582
      852      1997      1932
      853     10109      9962
      854      3769      3675
      855      4057      3908
      856     16202     15206
      857      6997      6775
      858     23828     22203
      859     10802     10466
      860     11063     10620
      861      4069      2898
      862      2967      2160
      863     13990     13241
      864     15156     14331
      865      8957      9085
      866      3834      3616
      867     14537     14116
      868     18388     15672
      869      2559      2111
      870      9673      3964
      871      5544      4998
      872     19954     18622
      873      9187      8507
      874      2834      2097
      876      7241      1393
      877      4207      3951
      878      4922      1846
      879     26032     23241
      881     10406      9577
      882      1366       824
      883      1389       814
      884     11847     11652
      885      5998      4738
      886     19109     18051
      887     11107     10783
      888      5351      4783
      889     12614     12395
      890      6424      6170
      891     18852     16959
      892     20258     18973
      893      6343      5888
      894     18802     16894
      895      8833      7722
      896      4695      4620
      897     15516     14669
      898      5388      5132
      899      2620      2471
      900      5679      4973
      901      8741      8085
      902      2552      2402
      904     12451     11951
      905     16722     16185
      906     17594     16651
      907      2220      2052
      908     10143      9914
      909     20532     19769
      910     16137     15413
      911     10487     10444
      912      2960      2813
      913     17924     17639
      914      1687      1051
      915     14500     12985
      916      2909      2329
      917     15424     14684
      918      8325      7415
      919     19936     19131
      921     22249     19272
      922      2920      2480
      923      3639      3648
      924      3703      3634
      925      3766      3450
      926      3691      3207
      927      1235      1205
      928      1276      1149
      929      1265      1222
      930      1876      1080
      931      1252      1200
      932      1282      1212
      933      1273      1207
      934      1254      1214
      935      1293      1217
      936      1267      1218
      937      1265      1202
      938      8332      7887
      939      7656      3507
      940     25688     24390
      941     25529     24449
      942     22028     20194
      943     22837     21960
      944     14241      6368
      945     11521     11325
      946     10396     10197
      947      8111      7596
      948      2158      2057
      949     17211     16072
      951      7444      6831
      952     11681     10550
      953     25454     24016
      956     11484     10842
      957      7009      6543
      958      3930      1841
      959     11763     11358
      960     11522     11162
      961      4229      3684
      962      9783      9136
      963      2710      1919
      964     13396     12582
      965      2398      1866
      966     21768     20110
      967     26226     25023
      968     11008     10130
      969     12037     10525
      970      6300      5647
      971     14779     15029
      972     13242     11269
      975      2982      1294
      977     15278     15597
      978     24037     22706
      979      6245      6237
      980      8144      7926
      982     19810     20350
      983      3870      3530
      984     14286     13669
      986      8438      7834
      987     13719     13697
      988     21771     20792
      989      3546      3320
      990      3478      3378
      991      4086      3595
      992      7785      7076
      993     14819     13750
      995     10741      9871
      996      5997      5525
      997      4438      2536
      998     17011     16306
      999      4134      3776
     1000      4869      4819
     1001      4987      4849
     1002      5320      4899
     1003     15637      5503
     1004     10055      9619
     1005      3537      3102
     1006      2113      1020
     1007     16188     15171
     1008      7104      6514
     1009      8096      7766
     1010      5507      3667
     1011      4768      4488
     1012      4612      4239
     1013      3038      2780
     1014      3720      1624
     1015      2802      1510
     1018      2255      2139
     1019      3216      3016
     1020      3341      2988
     1023     17189     16255
     1024     14853     14856
     1025     15796     15644
     1026     14023     13224
     1027     13162     10332
     1028     12974     12155
     1030      3555      3292
     1031      3414      1936
     1032      4132      4152
     1033     16813     17712
     1034      1870      1102
     1036     17688     18188
     1038     16474     15179
     1039     15320     14634
     1040      1159       686
     1041      1849      1783
     1042      1847      1762
     1043      1840      1764
     1045      1031       856
     1046      1719      1628
     1047      1708      1596
     1048      1687      1622
     1050      1660      1621
     1051      3595      3460
     1053      4398      4055
     1054      4492      3766
     1055     10189      9121
     1056     16305     15752
     1057      7275      7074
     1058      7025      6953
     1060     12828      9673
     1061     13655     12845
     1062     21044     19233
     1063     10675     10332
     1064      7413      7042
     1065     15523     15078
     1066     13377     13360
     1067      8667      8265
     1069     12222     12273
     1070      5603      5289
     1071      7496      7178
     1073      2213      1755
     1074     17639     16403
     1075     12132     11598
     1076      6001      5755
     1077      2069      1938
     1078      9839      8743
     1079     22262     21569
     1080     12651     10778
     1081      5670      5470
     1082      9253      8060
     1083      6639      6187
     1084     11280      9973
     1085     20023     18902
     1086     11350     10496
     1088      5427      4958
     1089      8453      7705
     1090      3726      3386
     1091      2814      2156
     1092     17057     14676
     1093     14488     13308
     1094      3479      3106
     1095      6124      5666
     1097      2043      2005
     1098      2105      1997
     1099      2109      2057
     1100      2126      2046
     1101      9735      9073
     1102     15744     14629
     1103      2792      2665
     1104      2936      2725
     1105     20259     20158
     1106     23218     23151
     1107      4029      3739
     1109     10039      8820
     1110      5541      5183
     1111      3714      3450
     1113      2267      1840
     1115      4237      3779
     1116     12610     10514
     1117     19088     18458
     1118     21772     21086
     1119      6158      5109
     1120     20821     20185
     1121      2397      1921
     1122      9858      9363
     1123      1954      1762
     1124      1912      1806
     1125      1894      1770
     1126      1921      1765
     1127     13633     13181
     1128      2893      2572
     1129     14011     12940
     1130      6164      6376
     1131      7786      7141
     1132     17233     16216
     1134     15767     15867
     1135      8813      8147
     1136      3779      3491
     1137      7977      6931
     1138      1744      1649
     1139      3744      2819
     1140      6108      4915
     1141      2970      2479
     1142      3858      3467
     1143      2685      2563
     1144      2208      2059
     1145     11000     10418
     1146      3787      3633
     1147      6140      5514
     1148      8556      1451
     1149      1411      1339
     1150      1666      1593
     1151     26224     24952
     1152     11336      8708
     1153      3166      2968
     1154      3108      2831
     1155     18463     14869
     1156      3757      3592
     1157     18673     17146
     1158     11757     11549
     1159     19894     19455
     1160      1141      1064
     1161      8317      7691
     1162      2666      2399
     1163      2532      2260
     1164     11673     11484
     1165      8668      8287
     1166     13877     12972
     1167      1436       969
     1168      9245      9068
     1169      2559      2166
     1170      4829      4263
     1171      9316      8686
     1172      8752      8591
     1173     20588     19664
     1174     17475     16232
     1175     20571     18982
     1176     12852     12159
     1177      4969      4409
     1178      4697      4538
     1179      2562      2441
     1180      9144      8532
     1182      7294      7234
     1183      3295      2399
     1184     17665     17469
     1185     13975     13765
     1186      8929      9276
     1187      4423      3759
     1188      9198      8798
     1189     32068     30580
     1190      3516      3396
     1191      4447      3881
     1192      7404      6991
     1193     11652     11042
     1194     18857     18263
     1195     13978     13140
     1196     17695     16430
     1197      2542      1768
     1198     15270     13302
     1199      8211      7947
     1200      7497      6964
     1201      1436      1268
     1202     13755     12929
     1203      1115       951
     1204     20037     19170
     1205      7636      7180
     1206      4233      1937
     1207      8391      7726
     1208     23268     22217
     1209      4354      4159
     1210      1454       898
     1211      9665      9181
     1212      9172      8046
     1213      8954      8466
     1214     10373      9922
     1215     11096     10463
     1216     24037     22138
     1217      3646      3294
     1218      2700      2569
     1219      4615      4080
     1220     11933     11487
     1221      5124      4129
     1222     13064     12566
     1224      5130      4399
     1225      5133      4580
     1226      4783      4573
     1227      5535      3364
     1228      7753      7109
     1229     23592     10325
     1230     14586     13953
     1231      1942      1771
     1232      8985      8159
     1233      1752      1187
     1236      8164      7016
     1237      7327      7142
     1238     26125     24389
     1239      9618      8006
     1240     10860     10268
     1242     13567     12734
     1243     21307     20591
     1245      6862      6206
     1246      7307       920
     1247     20544     21088
     1248     16168     15515
     1249      9094      8746
     1250     15665     15037
     1251      9107      8920
     1252      3043      2901
     1253      2947      2896
     1254      2193      1952
     1256      4689      4304
     1257      7251      4841
     1258     16511     15885
     1259      1607      1487
     1260      6290      6112
     1261      5898      5159
     1262      8167      7129
     1263     17034     16261
     1264     16816     16773
     1265      6988      6279
     1266      4847      4166
     1267     11074     10481
     1268      2709      2551
     1269     15589     14337
     1270     20648     18945
     1271      5246      4423
     1272      9462      8863
     1273      4580      4162
     1274      9406      9939
     1275      4309      3957
     1276     16513     13953
     1277     18693     15949
     1278      1048       705
     1279      9305      5825
     1280     13245     12641
     1282      4924      4710
     1283      7075      7307
     1285     17321     15287
     1286      5973      5710
     1287      8649      7999
     1288      9240      8367
     1290      3944      3868
     1291     17640     16827
     1292      9964      9586
     1293     16314     15376
     1294      7991      7561
     1295      8053      7752
     1296     14936     13498
     1298      1356      1231
     1299      1311      1237
     1301      1330      1236
     1302      1289      1249
     1303      1315      1252
     1304     14122     13609
     1306      2694      2556
     1307      2693      2503
     1308      3060      2713
     1309     24851     22874
     1311      1053       932
     1312      6362      5958
     1314     28983     25621
     1315     12599     11905
     1316     16439     15985
     1317      2139      1747
     1318      5728      5199
     1319      1416      1340
